ccode,ctryname,year,illtreatment,scarring,stealth,RstrctAccess,wdi_gdpc,wdi_pop,civilwar,parcomp,parreg,NatlElec,protest,protesterviolence,region,democ,autoc,polity2
2,United States of America,1995,54,28,49,1,33849.4637673874,266278000,0,5. competitive,5. regulated,0,,,,10,0,10
2,United States of America,1996,38,25,45,1,34711.0150902025,269394000,0,5. competitive,5. regulated,0,,,,10,0,10
2,United States of America,1997,56,45,75,1,35855.4477795904,272657000,0,5. competitive,5. regulated,0,,,,10,0,10
2,United States of America,1998,55,36,71,1,36935.3485368457,275854000,0,5. competitive,5. regulated,1,,,,10,0,10
2,United States of America,1999,25,23,38,1,38152.8450346995,279040000,0,5. competitive,5. regulated,0,,,,10,0,10
2,United States of America,2000,15,13,14,1,39122.4141157652,282172000,0,5. competitive,5. regulated,0,,,,10,0,10
2,United States of America,2001,19,12,18,1,39016.9178493701,285082000,0,5. competitive,5. regulated,0,,,,10,0,10
2,United States of America,2002,28,18,25,1,39271.2875967333,287804000,0,5. competitive,5. regulated,1,,,,10,0,10
2,United States of America,2003,35,29,32,1,39912.2002854543,290326000,0,5. competitive,5. regulated,0,,,,10,0,10
2,United States of America,2004,43,22,35,1,40984.9477735834,293046000,0,5. competitive,5. regulated,0,,,,10,0,10
2,United States of America,2005,35,18,31,0,41832.6504511759,295561000,,5. competitive,5. regulated,0,,,,10,0,10
20,Canada,1995,2,1,0,0,27792.2086673705,29354000,0,5. competitive,5. regulated,0,2,1,3,10,0,10
20,Canada,1996,1,0,0,0,27939.5270472683,29671900,0,5. competitive,5. regulated,0,1,0,3,10,0,10
20,,1997,,,,,,,,,,,2,0,3,10,0,10
20,,1998,,,,,,,,,,,0,0,3,10,0,10
20,,1999,,,,,,,,,,,0,0,3,10,0,10
20,Canada,2000,4,1,0,0,32463.3430263767,30769700,0,5. competitive,5. regulated,1,4,2,3,10,0,10
20,Canada,2001,5,0,0,0,32710.532371159,31081900,0,5. competitive,5. regulated,0,0,0,3,10,0,10
20,Canada,2002,1,2,1,0,33366.4725608714,31362000,0,5. competitive,5. regulated,0,0,0,3,10,0,10
20,Canada,2003,1,4,4,0,33657.1423156301,31676000,0,5. competitive,5. regulated,0,1,1,3,10,0,10
20,Canada,2004,2,2,5,0,34361.1965018553,31995000,0,5. competitive,5. regulated,1,0,0,3,10,0,10
20,Canada,2005,2,1,1,0,35002.3380963082,32312000,,5. competitive,5. regulated,0,2,1,3,10,0,10
31,,1995,,,,,,,,,,,,,,,,
31,,1996,,,,,,,,,,,,,,,,
31,,1997,,,,,,,,,,,,,,,,
31,,1998,,,,,,,,,,,,,,,,
31,,1999,,,,,,,,,,,,,,,,
31,,2000,,,,,,,,,,,,,,,,
31,,2001,,,,,,,,,,,,,,,,
31,,2002,,,,,,,,,,,,,,,,
31,,2003,,,,,,,,,,,,,,,,
31,,2004,,,,,,,,,,,,,,,,
31,,2005,,,,,,,,,,,,,,,,
40,Cuba,1995,13,11,6,1,,10910121,0,1. repressed,4. restricted,0,0,0,3,0,7,-7
40,Cuba,1996,13,8,10,1,,10954959,0,1. repressed,4. restricted,0,0,0,3,0,7,-7
