"","state","sex","age","educ","race","pid7","ideo5","religion","votechoice","hispanic","know_governor","conceal","prochoice","cleanair","wall","mandmin","aca","minwage","newsint"
"1","Connecticut","Male",54,"2-year","White","Not very strong Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Oppose","Oppose","Support","Support","Oppose","Oppose","Oppose","Most of the time"
"2","Florida","Female",65,"Post-grad","White","Strong Democrat","Very liberal","Protestant",NA,"No","Republican","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3","Iowa","Female",74,"4-year","White","Lean Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"4","Massachusetts","Female",58,"4-year","White","Strong Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Support","Favor","Some of the time"
"5","Illinois","Male",53,"4-year","White","Independent","Moderate","Jewish","Other","No","Republican","Support","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
"6","Ohio","Male",59,"Some college","White","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"7","Virginia","Male",70,"Some college","Black","Independent","Not sure","Nothing in particular",NA,"No","Not sure","Support","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
"8","South Dakota","Female",73,"Some college","White","Independent","Moderate","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Support","Oppose","Favor","Most of the time"
"9","Ohio","Female",50,"High school graduate","White","Not very strong Republican","Moderate","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Only now and then"
"10","New York","Female",57,"4-year","White","Strong Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"11","Virginia","Female",54,"4-year","White","Not very strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"12","Texas","Female",59,"4-year","White","Not very strong Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Republican","Support","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"13","Indiana","Male",61,"Some college","White","Strong Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"14","California","Female",61,"2-year","White","Strong Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"15","Michigan","Male",60,"Some college","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Support","Oppose","Support","Oppose","Support","Oppose","Some of the time"
"16","Georgia","Male",59,"2-year","White","Independent","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"17","Arkansas","Female",70,"2-year","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"18","Illinois","Male",74,"4-year","Black","Strong Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"19","Louisiana","Female",57,"Post-grad","Black","Strong Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"20","Massachusetts","Male",36,"4-year","White","Lean Democrat","Liberal","Jewish","Joe Biden (Democrat)","No","Republican","Support","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"21","Washington","Female",36,"4-year","White","Strong Democrat","Liberal","Agnostic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"22","Georgia","Female",48,"Some college","Black","Independent","Moderate","Nothing in particular","Donald J. Trump (Republican)","No","Not sure","Oppose","Support","Support","Support","Support","Support","Favor","Only now and then"
"23","Arizona","Female",72,"Some college","White","Strong Democrat","Very liberal","Atheist","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Oppose","Oppose","Favor","Some of the time"
"24","Kansas","Female",70,"Post-grad","White","Not very strong Democrat","Liberal","Jewish","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"25","California","Female",86,"Post-grad","White","Not very strong Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"26","California","Female",49,"Some college","White","Not very strong Democrat","Moderate","Roman Catholic",NA,"No","Not sure","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"27","California","Female",63,"Some college","White","Not very strong Democrat","Moderate","Roman Catholic",NA,"No","Not sure","Oppose","Support","Support","Oppose","Support","Support","Favor","Only now and then"
"28","Connecticut","Female",42,"Some college","White","Strong Democrat","Very liberal","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"29","Washington","Female",56,"High school graduate","White","Lean Republican","Moderate","Nothing in particular","Donald J. Trump (Republican)","No","Democrat","Oppose","Support","Oppose","Support","Oppose","Support","Favor","Most of the time"
"30","Ohio","Male",74,"2-year","White","Independent","Very conservative","Something else",NA,"No","Not sure","Support","Support","Oppose","Support","Oppose","Support","Favor","Only now and then"
"31","Missouri","Male",72,"Some college","White","Lean Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"32","Missouri","Male",66,"4-year","White","Independent","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Oppose","Oppose","Oppose","Most of the time"
"33","Kentucky","Female",33,"4-year","White","Lean Democrat","Liberal","Nothing in particular",NA,"No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"34","Florida","Female",57,"2-year","White","Strong Democrat","Very liberal","Roman Catholic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"35","Massachusetts","Male",74,"High school graduate","White","Independent","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"36","Washington","Female",70,"4-year","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"37","Iowa","Female",39,"2-year","White","Lean Democrat","Moderate","Protestant",NA,"No","Not sure","Support","Oppose","Oppose","Support","Support","Support","Favor","Hardly at all"
"38","Ohio","Female",49,"Some college","White","Not very strong Democrat","Liberal","Atheist","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"39","New Hampshire","Male",61,"2-year","White","Lean Republican","Moderate","Agnostic","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"40","Alabama","Female",55,"Post-grad","Black","Independent","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"41","New York","Male",57,"2-year","White","Lean Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"42","Indiana","Female",67,"Some college","White","Strong Democrat","Very liberal","Atheist","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"43","South Carolina","Female",33,"Post-grad","White","Independent","Moderate","Protestant","Donald J. Trump (Republican)","No","Not sure","Oppose","Oppose","Support","Support","Support","Oppose","Favor","Some of the time"
"44","Illinois","Female",67,"Some college","White","Not very strong Republican","Conservative","Roman Catholic","Other","No","Democrat","Oppose","Oppose","Support","Support","Support","Support","Oppose","Hardly at all"
"45","Virginia","Male",72,"Post-grad","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"46","Missouri","Female",47,"4-year","Other race","Independent","Not sure","Something else","Other","No","Republican","Oppose","Support","Oppose","Oppose","Support","Oppose","Favor","Only now and then"
"47","Colorado","Female",69,"Post-grad","White","Strong Democrat","Moderate","Something else","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"48","Arkansas","Female",61,"Post-grad","White","Strong Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"49","Arizona","Female",67,"Post-grad","White","Strong Democrat","Liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"50","Texas","Female",62,"Post-grad","White","Strong Democrat","Liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"51","Florida","Female",66,"4-year","White","Strong Republican","Very conservative","Roman Catholic","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"52","Utah","Male",53,"4-year","White","Independent","Moderate","Mormon","Other","No","Republican","Support","Support","Oppose","Support","Support","Support","Oppose","Most of the time"
"53","Florida","Male",75,"High school graduate","White","Lean Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Most of the time"
"54","Ohio","Female",64,"2-year","White","Strong Democrat","Liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"55","Texas","Male",50,"Post-grad","White","Not very strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"56","Illinois","Male",35,"Post-grad","White","Independent","Moderate","Roman Catholic",NA,"No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"57","Texas","Female",53,"4-year","White","Strong Democrat","Liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"58","Washington","Female",34,"4-year","White","Strong Republican","Very liberal","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Support","Support","Support","Support","Support","Support","Favor","Most of the time"
"59","Wisconsin","Female",27,"4-year","Hispanic","Independent","Moderate","Nothing in particular",NA,NA,"Not sure","Oppose","Support","Support","Oppose","Oppose","Oppose","Oppose","Don't know"
"60","Maryland","Male",69,"Post-grad","White","Strong Democrat","Very liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"61","California","Male",49,"4-year","Hispanic","Not very strong Republican","Conservative","Protestant","Donald J. Trump (Republican)",NA,"Democrat","Oppose","Oppose","Support","Support","Support","Support","Oppose","Some of the time"
"62","North Carolina","Female",52,"High school graduate","White","Independent","Moderate","Protestant",NA,"No","Not sure","Oppose","Support","Oppose","Support","Oppose","Oppose","Oppose","Some of the time"
"63","California","Female",37,"Post-grad","White","Lean Democrat","Conservative","Nothing in particular",NA,"No","Other Party / Independent","Support","Support","Support","Support","Support","Support","Favor","Some of the time"
"64","Texas","Female",66,"High school graduate","White","Strong Democrat","Moderate","Something else","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Oppose","Support","Support","Favor","Most of the time"
