obsid,leadid,ccode,idacr,leader,region,year,leftoffice,exitreason,entry,gender,yrborn,startdate,enddate
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1868,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1869,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1870,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1871,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1872,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1873,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1874,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1875,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1876,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1877,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1878,0,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,Asia/Oceania,1879,1,Regular,Irregular,M,1825,1868-09-08,1879-02-21
AFG-1879-1,82429dc2-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mohammad Ya`qub Khan,Asia/Oceania,1879,1,Foreign,Regular,M,1849,1879-02-21,1879-10-12
AFG-1879-2,82429dc3-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mohammad Jan,Asia/Oceania,1879,0,Natural Death,Foreign Imposition,M,-999,1879-10-12,1880-03-31
AFG-1879-2,82429dc3-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mohammad Jan,Asia/Oceania,1880,1,Natural Death,Foreign Imposition,M,-999,1879-10-12,1880-03-31
